Row 1401: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5413.06.26
Row 1402: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5414.06.26
Row 1403: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5415.06.26
Row 1404: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5416.06.26
Row 1405: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5417.06.26
Row 1406: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5418.06.26
Row 1407: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5419.06.26
Row 1408: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5420.06.26
Row 1409: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5421.06.26
Row 1410: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5422.06.26
Row 1411: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5423.06.26
Row 1412: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5424.06.26
Row 1413: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5425.06.26
Row 1414: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5426.06.26
Row 1415: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5427.06.26
Row 1416: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5428.06.26
Row 1417: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-12 00:00:00, Pipe: 5429.06.26
Row 1418: Đầu vào: 2026-06-07 00:00:00, Ép TL: 2026-06-08 00:00:00, Pipe: 5430.06.26
